"Total.Cup.Points","altitude_mean_meters_adj","Country.of.Origin","Harvest.Year","Variety","Processing.Method","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","mean_temp"
81.5,600,"Taiwan","2014","Typica","Other",0,0,1,0,0,0,"Typica",0,0,0,1,0,1,9.57066666666667
81.5,1600,"Mexico","2012","Typica","Washed / Wet",5,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
81.5,1100,"Mexico","2012","Catuai","Washed / Wet",10,0,0,0,0,1,"Catuai",0,1,0,0,0,1,9.50733333333333
81.5,1000,"Mexico","2012","Typica","Semi-washed / Semi-pulped",6,0,0,0,1,0,"Typica",0,0,0,1,0,1,9.50733333333333
81.42,1550,"Guatemala","2014","Bourbon","Washed / Wet",6,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.57066666666667
81.42,1550,"Mexico","2014","Typica","Washed / Wet",2,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.57066666666667
81.42,1750,"Colombia","2011","Caturra","Natural / Dry",0,0,0,0,0,0,"Caturra",0,0,1,0,0,0,9.516
81.25,680,"Taiwan","2015","Typica","Natural / Dry",0,0,0,0,0,0,"Typica",0,0,0,1,0,1,9.831
81.25,1500,"Mexico","2012","Typica","Washed / Wet",1,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
81.17,1450,"Honduras","2015","Catuai","Natural / Dry",1,0,0,0,0,0,"Catuai",0,1,0,0,0,0,9.831
81.17,1450,"Thailand","2014","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.57066666666667
81.17,995,"Malawi","2014","Caturra","Washed / Wet",12,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.57066666666667
81.17,1800,"Mexico","2012","Typica","Natural / Dry",10,0,0,0,0,0,"Typica",0,0,0,1,0,1,9.50733333333333
81.08,1650,"Mexico","2012","Typica","Washed / Wet",21,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
81.08,1642,"Mexico","2012","Typica","Washed / Wet",5,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
81.08,1200,"Mexico","2012","Typica","Washed / Wet",1,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.50733333333333
81,1350,"Honduras","2014","Caturra","Natural / Dry",1,0,0,0,0,0,"Caturra",0,0,1,0,0,0,9.57066666666667
81,1525,"Tanzania, United Republic Of","2014","Other","Washed / Wet",5,0,0,0,0,1,"Other",0,0,0,0,0,0,9.57066666666667
81,800,"Thailand","2012","","Washed / Wet",3,0,0,0,0,1,"Other",0,0,0,0,0,0,9.50733333333333
80.92,1100,"Brazil","2015","Bourbon","Natural / Dry",0,0,0,0,0,0,"Bourbon",1,0,0,0,0,0,9.831
80.92,1050,"Nicaragua","2013","Caturra","Washed / Wet",4,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.6065
80.92,300,"Taiwan","2014","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,9.57066666666667
80.83,1210,"Mexico","2012","Catuai","Semi-washed / Semi-pulped",7,0,0,0,1,0,"Catuai",0,1,0,0,0,1,9.50733333333333
80.67,1350,"Indonesia","2015","Mandheling","Semi-washed / Semi-pulped",1,0,0,0,1,0,"Other",0,0,0,0,0,0,9.831
80.58,1400,"Tanzania, United Republic Of","2014","Other","Washed / Wet",1,0,0,0,0,1,"Other",0,0,0,0,0,0,9.57066666666667
80.58,1200,"Brazil","2015","Bourbon","Semi-washed / Semi-pulped",3,0,0,0,1,0,"Bourbon",1,0,0,0,0,0,9.831
80.58,1400,"Honduras","2014","Caturra","Washed / Wet",5,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.57066666666667
